id;content;file;file_content_type;titel
1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;JSON Customer e-markets
2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Chips
3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Plastic Synergized
4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Metal out-of-the-box Cambridgeshire
5;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;COM Outdoors
6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Functionality feed
7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;systems Caicosinseln Loan
8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Sausages
9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;withdrawal Strategist
10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;drive Savings
